Month,Pearson,Kendall,Spearman
1,0.2795034224128233,0.11057869367154607,0.15520021456114602
2,0.3047658365754284,0.12282525642163582,0.17540318435969168
3,0.2798766081161255,0.1070201380598344,0.1568288334450495
4,0.42840140087334844,0.2181306295045723,0.31053402465254404
5,0.49286627677420136,0.23843673015753938,0.33667200158935395
6,0.6451171984808977,0.4146006727196207,0.562773410114024
7,0.6731147920111845,0.466417453350316,0.6279543799399367
8,0.641846104600646,0.4210880099709721,0.5710111792394741
9,0.4975246918182734,0.2568117714314988,0.3574866697975083
10,0.3015072074311233,0.18174968605576383,0.25429794440806924
11,0.29071120250841415,0.13843555552593836,0.19848081688491429
12,0.2901622765715371,0.13539282584648785,0.1869458550872335
