Year,Pearson,Kendall,Spearman
1981,0.3147660886136075,0.16822768635746835,0.23572537933202264
1982,0.6005758684315422,0.37502285803049856,0.522233098853952
1983,0.609271709698023,0.34341761177924285,0.4866695832211642
1984,0.6033951900887423,0.31807418544989374,0.45171142834685457
1985,0.41510733476489364,0.24562123675607886,0.3559142352643035
1986,0.5239848519994597,0.2932799520533329,0.4109075298161633
1987,0.6259551131985205,0.30813231307494526,0.44465866191354864
1988,0.4440229388100467,0.28429824439196527,0.40005561099633885
1989,0.5543245082161933,0.3216321501385423,0.44830451341513883
1990,0.5258294354292902,0.2771160701711029,0.38722752233083674
1991,0.19870511444216432,0.1414634097871362,0.17633182502264896
1992,0.6419776301577819,0.2954167357801557,0.4161009641855507
1993,0.22465409669394162,0.06827070793022691,0.082588170031712
1994,0.5532425990708277,0.28425757845610355,0.3883027864514763
1995,0.44993923727435625,0.24389480125663424,0.3340829659383913
1996,0.46380967062790596,0.20807733935989214,0.3031850113724662
1997,0.413700123116678,0.1865511642077472,0.26322693396025654
1998,0.4310653693859683,0.26079351132621137,0.36044232146794264
1999,0.3694475185317079,0.2035075285533605,0.2828734666365548
2000,0.5099201456254374,0.2779430442597727,0.3794572673435257
2001,0.4448113775990772,0.2739205609466494,0.3697454601550969
2002,0.2569685378461178,0.19290402403888382,0.25281277363513743
2003,0.35249580538297187,0.20280063653296868,0.2800955149312428
2004,0.3708212484832017,0.22334218391512603,0.2933617931250114
2005,0.39102205382139515,0.1886070419064694,0.2621635732338546
2006,0.4014659987530584,0.2053139755078884,0.2807842630411357
2007,0.38662435426995195,0.22520488671271177,0.30688558858193443
2008,0.31199229431672054,0.16101096006357482,0.22073225554754608
2009,0.2557906802637489,0.16049944358222182,0.20198871238450408
2010,0.3358526955255916,0.1451770434784965,0.20088014231873833
2011,0.25906937317725104,0.17923028954365572,0.25898764184889245
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
